
 Version: 2.1
 Chunks: 1
 Start: 2026-09-10 00:44:50 (UTC)
 Duration: 4 s

 Event Type                              Count  Size (bytes) 
 jdk.ResidentSetSize                         4            68
 jdk.CPULoad                                 4            76
 jdk.JavaThreadStatistics                    4            44
 jdk.ClassLoadingStatistics                  4            40
 jdk.CompilerStatistics                      4           108
 jdk.ExceptionStatistics                     4            48
 jdk.OldObjectSample                         3            91
 jdk.GCHeapMemoryUsage                       2            39
 jdk.PhysicalMemory                          2            33
 jdk.GCConfiguration                         2            49
 jdk.Metadata                                1        103224
 jdk.Compilation                             1            27
 jdk.Shutdown                                1            47
 jdk.JVMInformation                          1           695
 jdk.OSInformation                           1           242
 jdk.VirtualizationInformation               1            34
 jdk.CPUInformation                          1          1522
 jdk.CPUTimeStampCounter                     1            18
 jdk.CompilerConfiguration                   1             9
 jdk.CodeCacheConfiguration                  1            44
 jdk.GCSurvivorConfiguration                 1             9
 jdk.GCTLABConfiguration                     1            11
 jdk.GCHeapConfiguration                     1            24
 jdk.YoungGenerationConfiguration            1            16
 jdk.ActiveRecording                         1            44
 jdk.ProcessStart                            0             0
 jdk.SecurityPropertyModification            0             0
 jdk.SecurityProviderService                 0             0
 jdk.ContainerConfiguration                  0             0
 jdk.ThreadSleep                             0             0
 jdk.TLSHandshake                            0             0
 jdk.ThreadPark                              0             0
 jdk.ContainerCPUUsage                       0             0
 jdk.JavaMonitorEnter                        0             0
 jdk.VirtualThreadStart                      0             0
 jdk.JavaMonitorWait                         0             0
 jdk.ContainerCPUThrottling                  0             0
 jdk.JavaMonitorInflate                      0             0
 jdk.VirtualThreadEnd                        0             0
 jdk.SyncOnValueBasedClass                   0             0
 jdk.ContainerMemoryUsage                    0             0
 jdk.ContinuationFreeze                      0             0
 jdk.VirtualThreadPinned                     0             0
 jdk.ContinuationThaw                        0             0
 jdk.ContainerIOUsage                        0             0
 jdk.ContinuationFreezeFast                  0             0
 jdk.VirtualThreadSubmitFailed               0             0
 jdk.ContinuationFreezeSlow                  0             0
 jdk.ContinuationThawFast                    0             0
 jdk.X509Certificate                         0             0
 jdk.ContinuationThawSlow                    0             0
 jdk.ReservedStackActivation                 0             0
 jdk.X509Validation                          0             0
 jdk.ClassLoad                               0             0
 jdk.ClassDefine                             0             0
 jdk.ClassRedefinition                       0             0
 jdk.DirectBufferStatistics                  0             0
 jdk.RedefineClasses                         0             0
 jdk.RetransformClasses                      0             0
 jdk.ClassUnload                             0             0
 jdk.IntFlagChanged                          0             0
 jdk.UnsignedIntFlagChanged                  0             0
 jdk.LongFlagChanged                         0             0
 jdk.UnsignedLongFlagChanged                 0             0
 jdk.DoubleFlagChanged                       0             0
 jdk.BooleanFlagChanged                      0             0
 jdk.StringFlagChanged                       0             0
 jdk.MetaspaceGCThreshold                    0             0
 jdk.MetaspaceAllocationFailure              0             0
 jdk.MetaspaceOOM                            0             0
 jdk.PSHeapSummary                           0             0
 jdk.SystemGC                                0             0
 jdk.ParallelOldGarbageCollection            0             0
 jdk.ObjectCountAfterGC                      0             0
 jdk.PromotionFailed                         0             0
 jdk.EvacuationFailed                        0             0
 jdk.ConcurrentModeFailure                   0             0
 jdk.GCPhasePauseLevel3                      0             0
 jdk.GCPhasePauseLevel4                      0             0
 jdk.GCPhaseConcurrentLevel2                 0             0
 jdk.AllocationRequiringGC                   0             0
 jdk.G1HeapRegionTypeChange                  0             0
 jdk.JITRestart                              0             0
 jdk.CompilerPhase                           0             0
 jdk.CompilationFailure                      0             0
 jdk.CompilerInlining                        0             0
 jdk.CodeCacheFull                           0             0
 jdk.SafepointStateSynchronization           0             0
 jdk.SafepointCleanup                        0             0
 jdk.SafepointCleanupTask                    0             0
 jdk.SafepointEnd                            0             0
 jdk.ObjectAllocationInNewTLAB               0             0
 jdk.ObjectAllocationOutsideTLAB             0             0
 jdk.NativeMemoryUsage                       0             0
 jdk.NativeMemoryUsageTotal                  0             0
 jdk.DumpReason                              0             0
 jdk.DataLoss                                0             0
 jdk.ThreadContextSwitchRate                 0             0
 jdk.NetworkUtilization                      0             0
 jdk.SymbolTableStatistics                   0             0
 jdk.StringTableStatistics                   0             0
 jdk.ThreadDump                              0             0
 jdk.ObjectCount                             0             0
 jdk.G1HeapRegionInformation                 0             0
 jdk.ZYoungGarbageCollection                 0             0
 jdk.ZOldGarbageCollection                   0             0
 jdk.ZAllocationStall                        0             0
 jdk.ZPageAllocation                         0             0
 jdk.ZRelocationSet                          0             0
 jdk.ZRelocationSetGroup                     0             0
 jdk.ZStatisticsCounter                      0             0
 jdk.ZStatisticsSampler                      0             0
 jdk.ZThreadPhase                            0             0
 jdk.ZUncommit                               0             0
 jdk.ZUnmap                                  0             0
 jdk.ShenandoahHeapRegionStateChange         0             0
 jdk.ShenandoahHeapRegionInformation         0             0
 jdk.Flush                                   0             0
 jdk.HeapDump                                0             0
 jdk.GCLocker                                0             0
 jdk.FinalizerStatistics                     0             0
 jdk.JavaAgent                               0             0
 jdk.NativeAgent                             0             0
 jdk.FileForce                               0             0
 jdk.FileWrite                               0             0
 jdk.SocketRead                              0             0
 jdk.SocketWrite                             0             0
 jdk.JavaExceptionThrow                      0             0
 jdk.Deserialization                         0             0
